Web Search interest
United States; 2004 - present

Interest over time
Week,Games
2005-07-17 - 2005-07-23,-2%
2005-07-24 - 2005-07-30,-5%
2005-07-31 - 2005-08-06,-3%
2005-08-07 - 2005-08-13,-5%
2005-08-14 - 2005-08-20,-6%
2005-08-21 - 2005-08-27,-6%
2005-08-28 - 2005-09-03,-11%
2005-09-04 - 2005-09-10,-6%
2005-09-11 - 2005-09-17,-6%
2005-09-18 - 2005-09-24,-10%
2005-09-25 - 2005-10-01,-11%
2005-10-02 - 2005-10-08,-8%
2005-10-09 - 2005-10-15,+0%
2005-10-16 - 2005-10-22,+3%
2005-10-23 - 2005-10-29,-2%
2005-10-30 - 2005-11-05,-3%
2005-11-06 - 2005-11-12,+2%
2005-11-13 - 2005-11-19,-3%
2005-11-20 - 2005-11-26,+27%
2005-11-27 - 2005-12-03,+3%
2005-12-04 - 2005-12-10,+2%
2005-12-11 - 2005-12-17,+3%
2005-12-18 - 2005-12-24,+17%
2005-12-25 - 2005-12-31,+29%
2006-01-01 - 2006-01-07,+5%
2006-01-08 - 2006-01-14,-5%
2006-01-15 - 2006-01-21,-6%
2006-01-22 - 2006-01-28,-6%
2006-01-29 - 2006-02-04,-6%
2006-02-05 - 2006-02-11,-10%
2006-02-12 - 2006-02-18,-5%
2006-02-19 - 2006-02-25,+5%
2006-02-26 - 2006-03-04,-3%
2006-03-05 - 2006-03-11,-5%
2006-03-12 - 2006-03-18,-3%
2006-03-19 - 2006-03-25,-3%
2006-03-26 - 2006-04-01,-2%
2006-04-02 - 2006-04-08,-3%
2006-04-09 - 2006-04-15,+2%
2006-04-16 - 2006-04-22,-2%
2006-04-23 - 2006-04-29,-6%
2006-04-30 - 2006-05-06,-5%
2006-05-07 - 2006-05-13,+2%
2006-05-14 - 2006-05-20,+2%
2006-05-21 - 2006-05-27,+0%
2006-05-28 - 2006-06-03,+3%
2006-06-04 - 2006-06-10,+0%
2006-06-11 - 2006-06-17,+2%
2006-06-18 - 2006-06-24,+6%
2006-06-25 - 2006-07-01,+2%
2006-07-02 - 2006-07-08,+11%
2006-07-09 - 2006-07-15,+0%
2006-07-16 - 2006-07-22,+3%
2006-07-23 - 2006-07-29,+6%
2006-07-30 - 2006-08-05,+3%
2006-08-06 - 2006-08-12,+2%
2006-08-13 - 2006-08-19,-3%
2006-08-20 - 2006-08-26,-5%
2006-08-27 - 2006-09-02,-3%
2006-09-03 - 2006-09-09,-2%
2006-09-10 - 2006-09-16,-6%
2006-09-17 - 2006-09-23,-5%
2006-09-24 - 2006-09-30,-6%
2006-10-01 - 2006-10-07,-5%
2006-10-08 - 2006-10-14,-3%
2006-10-15 - 2006-10-21,+0%
2006-10-22 - 2006-10-28,-2%
2006-10-29 - 2006-11-04,+3%
2006-11-05 - 2006-11-11,+6%
2006-11-12 - 2006-11-18,+14%
2006-11-19 - 2006-11-25,+35%
2006-11-26 - 2006-12-02,+11%
2006-12-03 - 2006-12-09,+11%
2006-12-10 - 2006-12-16,+13%
2006-12-17 - 2006-12-23,+29%
2006-12-24 - 2006-12-30,+35%
2006-12-31 - 2007-01-06,+17%
2007-01-07 - 2007-01-13,+3%
2007-01-14 - 2007-01-20,+8%
2007-01-21 - 2007-01-27,+6%
2007-01-28 - 2007-02-03,+5%
2007-02-04 - 2007-02-10,+2%
2007-02-11 - 2007-02-17,+5%
2007-02-18 - 2007-02-24,+5%
2007-02-25 - 2007-03-03,+2%
2007-03-04 - 2007-03-10,+11%
2007-03-11 - 2007-03-17,+3%
2007-03-18 - 2007-03-24,+5%
2007-03-25 - 2007-03-31,+2%
2007-04-01 - 2007-04-07,+8%
2007-04-08 - 2007-04-14,+3%
2007-04-15 - 2007-04-21,-2%
2007-04-22 - 2007-04-28,+3%
2007-04-29 - 2007-05-05,+3%
2007-05-06 - 2007-05-12,-2%
2007-05-13 - 2007-05-19,+5%
2007-05-20 - 2007-05-26,+8%
2007-05-27 - 2007-06-02,+14%
2007-06-03 - 2007-06-09,+10%
2007-06-10 - 2007-06-16,+11%
2007-06-17 - 2007-06-23,+11%
2007-06-24 - 2007-06-30,+11%
2007-07-01 - 2007-07-07,+16%
2007-07-08 - 2007-07-14,+11%
2007-07-15 - 2007-07-21,+10%
2007-07-22 - 2007-07-28,+11%
2007-07-29 - 2007-08-04,+6%
2007-08-05 - 2007-08-11,+8%
2007-08-12 - 2007-08-18,+10%
2007-08-19 - 2007-08-25,+11%
2007-08-26 - 2007-09-01,+10%
2007-09-02 - 2007-09-08,+3%
2007-09-09 - 2007-09-15,+2%
2007-09-16 - 2007-09-22,-2%
2007-09-23 - 2007-09-29,+8%
2007-09-30 - 2007-10-06,+2%
2007-10-07 - 2007-10-13,+6%
2007-10-14 - 2007-10-20,+6%
2007-10-21 - 2007-10-27,+5%
2007-10-28 - 2007-11-03,+6%
2007-11-04 - 2007-11-10,+11%
2007-11-11 - 2007-11-17,+14%
2007-11-18 - 2007-11-24,+37%
2007-11-25 - 2007-12-01,+14%
2007-12-02 - 2007-12-08,+21%
2007-12-09 - 2007-12-15,+16%
2007-12-16 - 2007-12-22,+27%
2007-12-23 - 2007-12-29,+52%
2007-12-30 - 2008-01-05,+29%
2008-01-06 - 2008-01-12,+6%
2008-01-13 - 2008-01-19,+10%
2008-01-20 - 2008-01-26,+8%
2008-01-27 - 2008-02-02,+6%
2008-02-03 - 2008-02-09,+6%
2008-02-10 - 2008-02-16,+8%
2008-02-17 - 2008-02-23,+17%
2008-02-24 - 2008-03-01,+6%
2008-03-02 - 2008-03-08,+10%
2008-03-09 - 2008-03-15,+11%
2008-03-16 - 2008-03-22,+17%
2008-03-23 - 2008-03-29,+11%
2008-03-30 - 2008-04-05,+6%
2008-04-06 - 2008-04-12,+5%
2008-04-13 - 2008-04-19,+5%
2008-04-20 - 2008-04-26,+6%
2008-04-27 - 2008-05-03,+13%
2008-05-04 - 2008-05-10,+6%
2008-05-11 - 2008-05-17,+13%
2008-05-18 - 2008-05-24,+13%
2008-05-25 - 2008-05-31,+19%
2008-06-01 - 2008-06-07,+16%
2008-06-08 - 2008-06-14,+14%
2008-06-15 - 2008-06-21,+14%
2008-06-22 - 2008-06-28,+19%
2008-06-29 - 2008-07-05,+22%
2008-07-06 - 2008-07-12,+17%
2008-07-13 - 2008-07-19,+17%
2008-07-20 - 2008-07-26,+14%
2008-07-27 - 2008-08-02,+16%
2008-08-03 - 2008-08-09,+13%
2008-08-10 - 2008-08-16,+13%
2008-08-17 - 2008-08-23,+10%
2008-08-24 - 2008-08-30,+8%
2008-08-31 - 2008-09-06,+10%
2008-09-07 - 2008-09-13,-2%
2008-09-14 - 2008-09-20,+6%
2008-09-21 - 2008-09-27,+3%
2008-09-28 - 2008-10-04,+6%
2008-10-05 - 2008-10-11,+6%
2008-10-12 - 2008-10-18,+13%
2008-10-19 - 2008-10-25,+13%
2008-10-26 - 2008-11-01,+10%
2008-11-02 - 2008-11-08,+11%
2008-11-09 - 2008-11-15,+19%
2008-11-16 - 2008-11-22,+17%
2008-11-23 - 2008-11-29,+37%
2008-11-30 - 2008-12-06,+19%
2008-12-07 - 2008-12-13,+22%
2008-12-14 - 2008-12-20,+29%
2008-12-21 - 2008-12-27,+59%
2008-12-28 - 2009-01-03,+46%
2009-01-04 - 2009-01-10,+16%
2009-01-11 - 2009-01-17,+16%
2009-01-18 - 2009-01-24,+19%
2009-01-25 - 2009-01-31,+14%
2009-02-01 - 2009-02-07,+11%
2009-02-08 - 2009-02-14,+10%
2009-02-15 - 2009-02-21,+14%
2009-02-22 - 2009-02-28,+16%
2009-03-01 - 2009-03-07,+14%
2009-03-08 - 2009-03-14,+14%
2009-03-15 - 2009-03-21,+11%
2009-03-22 - 2009-03-28,+11%
2009-03-29 - 2009-04-04,+13%
2009-04-05 - 2009-04-11,+17%
2009-04-12 - 2009-04-18,+10%
2009-04-19 - 2009-04-25,+8%
2009-04-26 - 2009-05-02,+11%
2009-05-03 - 2009-05-09,+11%
2009-05-10 - 2009-05-16,+14%
2009-05-17 - 2009-05-23,+16%
2009-05-24 - 2009-05-30,+21%
2009-05-31 - 2009-06-06,+24%
2009-06-07 - 2009-06-13,+17%
2009-06-14 - 2009-06-20,+19%
2009-06-21 - 2009-06-27,+16%
2009-06-28 - 2009-07-04,+21%
2009-07-05 - 2009-07-11,+16%
2009-07-12 - 2009-07-18,+14%
2009-07-19 - 2009-07-25,+17%
2009-07-26 - 2009-08-01,+19%
2009-08-02 - 2009-08-08,+17%
2009-08-09 - 2009-08-15,+19%
2009-08-16 - 2009-08-22,+19%
2009-08-23 - 2009-08-29,+17%
2009-08-30 - 2009-09-05,+8%
2009-09-06 - 2009-09-12,+11%
2009-09-13 - 2009-09-19,+0%
2009-09-20 - 2009-09-26,+6%
2009-09-27 - 2009-10-03,+5%
2009-10-04 - 2009-10-10,+8%
2009-10-11 - 2009-10-17,+10%
2009-10-18 - 2009-10-24,+6%
2009-10-25 - 2009-10-31,+5%
2009-11-01 - 2009-11-07,+8%
2009-11-08 - 2009-11-14,+17%
2009-11-15 - 2009-11-21,+10%
2009-11-22 - 2009-11-28,+25%
2009-11-29 - 2009-12-05,+11%
2009-12-06 - 2009-12-12,+13%
2009-12-13 - 2009-12-19,+21%
2009-12-20 - 2009-12-26,+46%
2009-12-27 - 2010-01-02,+35%
2010-01-03 - 2010-01-09,+11%
2010-01-10 - 2010-01-16,+10%
2010-01-17 - 2010-01-23,+13%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,+8%
2010-02-07 - 2010-02-13,+11%
2010-02-14 - 2010-02-20,+10%
2010-02-21 - 2010-02-27,+3%
2010-02-28 - 2010-03-06,+10%
2010-03-07 - 2010-03-13,+10%
2010-03-14 - 2010-03-20,+11%
2010-03-21 - 2010-03-27,+8%
2010-03-28 - 2010-04-03,+11%
2010-04-04 - 2010-04-10,+11%
2010-04-11 - 2010-04-17,+3%
2010-04-18 - 2010-04-24,+5%
2010-04-25 - 2010-05-01,+8%
2010-05-02 - 2010-05-08,+6%
2010-05-09 - 2010-05-15,+6%
2010-05-16 - 2010-05-22,+11%
2010-05-23 - 2010-05-29,+11%
2010-05-30 - 2010-06-05,+17%
2010-06-06 - 2010-06-12,+10%
2010-06-13 - 2010-06-19,+14%
2010-06-20 - 2010-06-26,+13%
2010-06-27 - 2010-07-03,+10%
2010-07-04 - 2010-07-10,+13%
2010-07-11 - 2010-07-17,+3%
2010-07-18 - 2010-07-24,+6%
2010-07-25 - 2010-07-31,+8%
2010-08-01 - 2010-08-07,+6%
2010-08-08 - 2010-08-14,+3%
2010-08-15 - 2010-08-21,+3%
2010-08-22 - 2010-08-28,+0%
2010-08-29 - 2010-09-04,-3%
2010-09-05 - 2010-09-11,+0%
2010-09-12 - 2010-09-18,-3%
2010-09-19 - 2010-09-25,-2%
2010-09-26 - 2010-10-02,-5%
2010-10-03 - 2010-10-09,-3%
2010-10-10 - 2010-10-16,-2%
2010-10-17 - 2010-10-23,-3%
2010-10-24 - 2010-10-30,-3%
2010-10-31 - 2010-11-06,-3%
2010-11-07 - 2010-11-13,+3%
2010-11-14 - 2010-11-20,-3%
2010-11-21 - 2010-11-27,+13%
2010-11-28 - 2010-12-04,+3%
2010-12-05 - 2010-12-11,+6%
2010-12-12 - 2010-12-18,+13%
2010-12-19 - 2010-12-25,+24%
2010-12-26 - 2011-01-01,+27%
2011-01-02 - 2011-01-08,+6%
2011-01-09 - 2011-01-15,-5%
2011-01-16 - 2011-01-22,+0%
2011-01-23 - 2011-01-29,-6%
2011-01-30 - 2011-02-05,-6%
2011-02-06 - 2011-02-12,-8%
2011-02-13 - 2011-02-19,-8%
2011-02-20 - 2011-02-26,-3%
2011-02-27 - 2011-03-05,-5%
2011-03-06 - 2011-03-12,-5%
2011-03-13 - 2011-03-19,-5%
2011-03-20 - 2011-03-26,+0%
2011-03-27 - 2011-04-02,-6%
2011-04-03 - 2011-04-09,-5%
2011-04-10 - 2011-04-16,-8%
2011-04-17 - 2011-04-23,+2%
2011-04-24 - 2011-04-30,-2%
2011-05-01 - 2011-05-07,-3%
2011-05-08 - 2011-05-14,-6%
2011-05-15 - 2011-05-21,-5%
2011-05-22 - 2011-05-28,-5%
2011-05-29 - 2011-06-04,+0%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,-3%
2011-06-19 - 2011-06-25,-3%
2011-06-26 - 2011-07-02,-5%
2011-07-03 - 2011-07-09,-5%
2011-07-10 - 2011-07-16,-6%
2011-07-17 - 2011-07-23,-8%
2011-07-24 - 2011-07-30,-8%
2011-07-31 - 2011-08-06,-5%
2011-08-07 - 2011-08-13,-6%
2011-08-14 - 2011-08-20,-10%
2011-08-21 - 2011-08-27,-13%
2011-08-28 - 2011-09-03,-16%
2011-09-04 - 2011-09-10,-10%
2011-09-11 - 2011-09-17,-16%
2011-09-18 - 2011-09-24,-17%
2011-09-25 - 2011-10-01,-13%
2011-10-02 - 2011-10-08,-16%
2011-10-09 - 2011-10-15,-14%
2011-10-16 - 2011-10-22,-13%
2011-10-23 - 2011-10-29,-8%
2011-10-30 - 2011-11-05,-8%
2011-11-06 - 2011-11-12,-3%
2011-11-13 - 2011-11-19,-5%
2011-11-20 - 2011-11-26,+5%
2011-11-27 - 2011-12-03,-8%
2011-12-04 - 2011-12-10,-5%
2011-12-11 - 2011-12-17,-5%
2011-12-18 - 2011-12-24,+5%
2011-12-25 - 2011-12-31,+10%
2012-01-01 - 2012-01-07,-6%
2012-01-08 - 2012-01-14,-10%
2012-01-15 - 2012-01-21,-8%
2012-01-22 - 2012-01-28,-14%
2012-01-29 - 2012-02-04,-10%
2012-02-05 - 2012-02-11,-8%
2012-02-12 - 2012-02-18,-11%
2012-02-19 - 2012-02-25,-11%
2012-02-26 - 2012-03-03,-13%
2012-03-04 - 2012-03-10,-5%
2012-03-11 - 2012-03-17,-11%
2012-03-18 - 2012-03-24,-8%
2012-03-25 - 2012-03-31,+24%
2012-04-01 - 2012-04-07,-5%
2012-04-08 - 2012-04-14,-11%
2012-04-15 - 2012-04-21,-14%
2012-04-22 - 2012-04-28,-11%
2012-04-29 - 2012-05-05,-8%
2012-05-06 - 2012-05-12,-13%
2012-05-13 - 2012-05-19,-8%
2012-05-20 - 2012-05-26,-10%
2012-05-27 - 2012-06-02,-6%
2012-06-03 - 2012-06-09,-5%
2012-06-10 - 2012-06-16,-10%
2012-06-17 - 2012-06-23,-8%
2012-06-24 - 2012-06-30,-13%
2012-07-01 - 2012-07-07,-10%
2012-07-08 - 2012-07-14,-14%
2012-07-15 - 2012-07-21,-13%
2012-07-22 - 2012-07-28,-14%
2012-07-29 - 2012-08-04,-16%
2012-08-05 - 2012-08-11,-16%
2012-08-12 - 2012-08-18,-11%
2012-08-19 - 2012-08-25,-17%
2012-08-26 - 2012-09-01,-19%
2012-09-02 - 2012-09-08,-17%
2012-09-09 - 2012-09-15,-21%
2012-09-16 - 2012-09-22,-19%
2012-09-23 - 2012-09-29,-17%
2012-09-30 - 2012-10-06,-21%
2012-10-07 - 2012-10-13,-22%
2012-10-14 - 2012-10-20,-22%
2012-10-21 - 2012-10-27,-21%
2012-10-28 - 2012-11-03,-19%
2012-11-04 - 2012-11-10,-19%
2012-11-11 - 2012-11-17,-16%
2012-11-18 - 2012-11-24,-8%
2012-11-25 - 2012-12-01,+0%
2012-12-02 - 2012-12-08,-17%
2012-12-09 - 2012-12-15,-17%
2012-12-16 - 2012-12-22,-13%
2012-12-23 - 2012-12-29,-3%
2012-12-30 - 2013-01-05,-10%
2013-01-06 - 2013-01-12,-19%
2013-01-13 - 2013-01-19,-19%
2013-01-20 - 2013-01-26,-17%
2013-01-27 - 2013-02-02,-17%
2013-02-03 - 2013-02-09,-21%
2013-02-10 - 2013-02-16,-21%
2013-02-17 - 2013-02-23,-14%
2013-02-24 - 2013-03-02,-19%
2013-03-03 - 2013-03-09,-16%
2013-03-10 - 2013-03-16,-16%
2013-03-17 - 2013-03-23,-17%
2013-03-24 - 2013-03-30,-14%
2013-03-31 - 2013-04-06,-17%
2013-04-07 - 2013-04-13,-21%
2013-04-14 - 2013-04-20,-24%
2013-04-21 - 2013-04-27,-22%
2013-04-28 - 2013-05-04,-19%
2013-05-05 - 2013-05-11,-19%
2013-05-12 - 2013-05-18,-13%
2013-05-19 - 2013-05-25,-5%
2013-05-26 - 2013-06-01,-14%
2013-06-02 - 2013-06-08,-17%
2013-06-09 - 2013-06-15,-8%
2013-06-16 - 2013-06-22,-13%
2013-06-23 - 2013-06-29,-17%
2013-06-30 - 2013-07-06,-14%
2013-07-07 - 2013-07-13,-17%
2013-07-14 - 2013-07-20,-16%
2013-07-21 - 2013-07-27,-17%
2013-07-28 - 2013-08-03,-14%
2013-08-04 - 2013-08-10,-10%
2013-08-11 - 2013-08-17,-19%
2013-08-18 - 2013-08-24,-19%
2013-08-25 - 2013-08-31,-22%
2013-09-01 - 2013-09-07,-19%
2013-09-08 - 2013-09-14,-22%
2013-09-15 - 2013-09-21,-11%
2013-09-22 - 2013-09-28,-19%
2013-09-29 - 2013-10-05,-16%
2013-10-06 - 2013-10-12,-21%
2013-10-13 - 2013-10-19,-17%
2013-10-20 - 2013-10-26,-17%
2013-10-27 - 2013-11-02,-19%
2013-11-03 - 2013-11-09,-17%
2013-11-10 - 2013-11-16,-16%
2013-11-17 - 2013-11-23,-14%
2013-11-24 - 2013-11-30,-8%
2013-12-01 - 2013-12-07,-21%
2013-12-08 - 2013-12-14,-13%
2013-12-15 - 2013-12-21,-2%
2013-12-22 - 2013-12-28,-2%
2013-12-29 - 2014-01-04,-8%
2014-01-05 - 2014-01-11,-21%
2014-01-12 - 2014-01-18,-21%
2014-01-19 - 2014-01-25,-17%
2014-01-26 - 2014-02-01,-21%
2014-02-02 - 2014-02-08,-22%
2014-02-09 - 2014-02-15,-22%
2014-02-16 - 2014-02-22,-19%
2014-02-23 - 2014-03-01,-22%
2014-03-02 - 2014-03-08,-21%
2014-03-09 - 2014-03-15,-21%
2014-03-16 - 2014-03-22,-19%
2014-03-23 - 2014-03-29,-21%
2014-03-30 - 2014-04-05,-21%
2014-04-06 - 2014-04-12,-22%
2014-04-13 - 2014-04-19,-25%
2014-04-20 - 2014-04-26,-24%
2014-04-27 - 2014-05-03,-19%
2014-05-04 - 2014-05-10,-25%
2014-05-11 - 2014-05-17,-24%
2014-05-18 - 2014-05-24,-21%
2014-05-25 - 2014-05-31,-21%
2014-06-01 - 2014-06-07,-21%
2014-06-08 - 2014-06-14,-16%
2014-06-15 - 2014-06-21,-19%
2014-06-22 - 2014-06-28,-19%
2014-06-29 - 2014-07-05,-17%
2014-07-06 - 2014-07-12,-21%
2014-07-13 - 2014-07-19,-22%
2014-07-20 - 2014-07-26,-21%
2014-07-27 - 2014-08-02,-22%
2014-08-03 - 2014-08-09,-22%
2014-08-10 - 2014-08-16,-22%
2014-08-17 - 2014-08-23,-24%
2014-08-24 - 2014-08-30,-25%
2014-08-31 - 2014-09-06,-27%
2014-09-07 - 2014-09-13,-29%
2014-09-14 - 2014-09-20,-17%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
games,100
game,40
lottery,30
xbox,25
pokemon,20
free games,15
wow,15
online games,15
ps3,10
wii,10
mario,10
xbox 360,10
powerball,10
juegos,10
scrabble,10
skyrim,10
runescape,10
cool math,5
mega millions,5
cool math games,5



Rising searches
cool math,Breakout
skyrim,Breakout
wii,Breakout
xbox 360,Breakout
ps3,+1,900%
juegos,+750%
wow,+600%
scrabble,+350%
pokemon,+140%
powerball,+100%



